MINUTE,HOUR,DAY,MONTH,LATITUDE,LONGITUD,FATALS
16,17,20,3,32.91288333,-86.71971111,1
43,12,21,3,31.64740278,-86.72494167,1
40,5,23,3,33.94172222,-85.91716389,1
17,20,25,3,30.75541944,-88.1192,1
35,19,25,3,30.685475,-88.14458333,1
5,4,26,3,30.65325278,-88.13914722,1
30,2,18,3,34.63607778,-86.05671389,1
20,4,19,3,31.40057222,-85.18494167,3
35,23,19,3,32.495575,-87.39694722,1
10,2,19,3,33.84018056,-87.331025,1
20,3,20,3,34.66466389,-87.63418333,1
35,7,21,3,30.51833056,-88.274825,1
45,11,22,3,32.26313056,-87.8882,1
15,5,23,3,34.03448056,-86.57509722,1
22,0,23,3,34.75905,-86.56176111,1
40,9,24,3,33.235925,-87.51402778,1
57,8,24,3,34.36837778,-86.468325,1
0,5,25,3,33.95398611,-86.66496389,1
50,17,25,3,33.68793333,-86.83035833,1
35,3,25,3,30.99681389,-88.125125,1
2,14,25,3,34.84047222,-85.75423611,1
5,15,26,3,32.73063056,-86.53885556,5
0,6,26,3,31.86743611,-87.42188333,1
23,13,27,3,34.06604444,-86.28254444,1
45,13,27,3,31.44231111,-86.61312222,1
45,14,28,3,33.527425,-85.95186944,1
20,6,29,3,34.01630278,-87.21474167,1
0,15,29,3,30.858,-88.32585,1
0,14,30,3,32.97629444,-86.97581944,1
15,0,2,4,33.58510833,-85.90574722,1
20,21,2,4,33.62791389,-87.66069444,1
50,0,26,2,32.348175,-86.22161389,1
50,0,23,2,33.47311944,-86.76542778,1
59,2,22,3,33.62942778,-86.90760556,1
25,23,16,3,32.48876944,-85.80016389,1
28,17,20,3,33.54682222,-86.44342222,1
15,6,2,4,33.59628333,-86.80657222,1
30,11,29,3,33.64935833,-86.83119444,1
54,7,7,3,33.48087778,-86.77575833,1
17,15,2,4,33.35436944,-86.853275,1
18,7,8,4,32.632075,-85.37145,1
52,16,8,4,34.74989444,-87.664825,1
53,17,4,4,34.05701389,-86.87941111,1
0,7,8,4,33.80826389,-86.36053611,1
9,16,6,4,33.03055,-86.05815,2
50,20,6,4,31.25082778,-88.00506944,1
45,10,9,4,34.74497222,-87.94084722,1
15,2,9,4,32.97051667,-87.90389722,1
30,9,9,4,32.25114444,-86.30127778,1
15,23,10,4,30.80554167,-88.25114722,2
52,22,13,4,33.07198889,-87.1295,1
1,0,15,4,30.37866111,-88.18007778,1
20,12,21,4,33.98470278,-85.88834444,1
14,12,6,4,33.33248333,-86.79141389,1
40,6,10,4,34.98767222,-87.81322222,1
30,14,11,4,31.50065556,-86.12219167,1
45,8,11,4,30.68775278,-88.12878611,1
10,21,12,4,33.24391111,-85.52661111,1
50,20,12,4,34.89668611,-86.66479167,1
15,2,14,4,32.54197778,-86.64403611,1
15,23,15,4,34.976125,-86.56927222,1
50,19,16,4,34.09632778,-85.902475,1
0,14,16,4,30.66139444,-88.22543889,1
20,12,19,4,33.47274722,-86.20391667,1
7,16,20,4,34.86416389,-86.64267778,1
15,23,23,4,33.81893889,-87.15218056,1
53,13,23,4,34.79564722,-87.12478889,1
30,19,23,4,31.79676389,-87.62317778,1
30,2,27,4,34.37406389,-85.99434722,1
36,0,9,4,33.45869167,-87.15936944,1
25,14,10,4,32.57947778,-87.59306667,1
25,12,15,4,32.90099167,-87.97036111,1
30,6,30,4,32.29007222,-85.84279167,1
21,20,18,4,32.49528333,-85.86915,1
20,8,20,4,32.44681389,-85.51130278,1
40,22,22,4,34.65744444,-87.53640278,1
30,7,23,4,33.61690556,-85.73485833,1
4,19,24,4,33.66928333,-85.409775,1
25,11,29,4,33.81826944,-87.15139722,1
